,name,longitude,region_id,legacy_id,capacity,latitude,short_name
239,Independence Ave & L'Enfant Plaza SW/DOE,-77.025762,42,253,15,38.887312,31633
240,Hamlin & 7th St NE,-76.997194,42,254,15,38.927497,31514
241,Columbia Pike & S Walter Reed Dr,-77.086599,41,255,12,38.862478,31067
242,Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St,-77.11153,41,256,15,38.856319,31068
243,Pershing Dr & N George Mason Dr,-77.107906,41,257,11,38.871822,31069
244,Fenton St & New York Ave ,-77.023082,44,258,15,38.985404,32001
245,Bethesda Ave & Arlington Rd,-77.097426,44,259,19,38.981103,32002
246,Montgomery Ave & Waverly St ,-77.09221,44,260,11,38.983838,32003
247,Fallsgrove Blvd & Fallsgrove Dr,-77.192672,43,261,19,39.096312,32004
248,Traville Gateway Dr & Gudelsky Dr,-77.202501,43,262,19,39.093783,32005
249,Norfolk Ave & Fairmont St,-77.096539,44,263,11,38.988562,32000
250,E Montgomery Ave & Maryland Ave,-77.151291,43,264,15,39.084125,32007
251,Cordell & Norfolk Ave,-77.098029,44,265,11,38.98954,32008
252,Frederick Ave & Horners Ln,-77.145213,43,266,9,39.094772,32009
253,Philadelphia & Maple Ave,-77.011336,44,267,15,38.98128,32010
254,Maple & Ritchie Ave,-77.006311,44,268,19,38.983627,32011
255,Silver Spring Metro / Colesville Rd & Wayne Ave,-77.02912420034409,44,269,19,38.995256441231696,32012
256,Montgomery & East Ln,-77.095367,44,270,11,38.983525,32013
257,Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir,-77.085998,44,271,19,38.961763,32014
258,14th & Belmont St NW,-77.031887,42,272,15,38.921074,31119
259,3rd & Tingey St SE,-77.0024,42,273,19,38.87501,31634
260,10th & Florida Ave NW,-77.025672,42,274,19,38.920387,31120
261,Potomac Ave & 8th St SE,-76.994468,42,275,15,38.876737,31635
262,Fallsgrove Dr & W Montgomery Ave,-77.188014,43,277,15,39.099376,32016
263,Monroe St & Monroe Pl,-77.149162,43,278,15,39.083673,32017
264,Needwood Rd & Eagles Head Ct,-77.15741,43,279,15,39.123513,32018
265,East West Hwy & Blair Mill Rd,-77.02935,44,280,15,38.990249,32019
266,47th & Elm St,-77.091991,44,282,15,38.982456,32021
267,Dennis Ave & Amherst Ave,-77.04456299543381,44,283,15,39.02538719623632,32022
268,Montgomery College / W Campus Dr & Mannakee St,-77.159048,43,284,21,39.095661,32023
269,Fenton St & Gist Ave,-77.023854,44,285,11,38.989724,32024
270,Carroll & Westmoreland Ave,-77.01121,44,286,15,38.975,32025
271,Carroll & Ethan Allen Ave,-77.006472,44,287,15,38.977933,32026
272,Battery Ln & Trolley Trail,-77.100104,44,288,15,38.992375,32027
273,Norfolk & Rugby Ave,-77.100239,44,289,11,38.990639,32028
274,Offutt Ln & Chevy Chase Dr,-77.094589,44,290,11,38.977093,32029
275,Fleet St & Ritchie Pkwy,-77.141378,43,293,15,39.076331,32032
276,Piccard & W Gude Dr,-77.177091,43,294,19,39.102212,32033
277,Silver Spring Transit Center - Top Level,-77.03037142753601,44,295,15,38.99403485060837,32034
278,Georgia Ave & Spring St,-77.031555,44,296,11,38.999388,32035
279,Fenton St & Ellsworth Dr ,-77.025608,44,297,15,38.997033,32036
280,King Farm Blvd & Pleasant Dr,-77.171487,43,298,18,39.114688,32037
281,King Farm Blvd & Piccard Dr,-77.182669,43,299,15,39.110314,32038
282,Calvert St & Woodley Pl NW,-77.050046,42,301,19,38.923583,31121
283,New Jersey Ave & N St NW/Dunbar HS,-77.01536044478416,42,302,19,38.90733256111448,31636
284,Nannie Helen Burroughs Ave & 49th St NE,-76.931862,42,303,11,38.898536,31710
285,Deanwood Rec Center,-76.933099,42,304,15,38.908473,31711
286,Hains Point/Buckeye & Ohio Dr SW,-77.03023,42,305,17,38.878433,31273
287,Arlington Blvd & Fillmore St,-77.089233,41,306,11,38.873755,31070
288,Eads St & 12th St S,-77.05428,41,307,17,38.862753,31071
289,Old Georgetown Rd & Southwick St,-77.109647,44,308,19,38.999634,32039
290,Friendship Blvd & Willard Ave,-77.088659,44,309,19,38.96115,32040
291,North Capitol St & G Pl NE,-77.008911,42,310,19,38.899703,31637
292,31st St & S Woodrow St,-77.0934784,41,311,11,38.8378458,31072
293,Washington Blvd & Walter Reed Dr ,-77.082104,41,312,15,38.873219,31073
294,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,-77.095596,41,313,15,38.869418,31074
295,Connecticut Ave & Tilden St NW,-77.061977237463,42,314,15,38.94113915653008,31313
296,Medical Center Dr & Key West Ave,-77.196442,43,315,15,39.103091,32041
297,Shady Grove Hospital,-77.196636,43,316,19,39.097636,32042
298,Veterans Pl & Pershing Dr ,-77.023894,44,317,11,38.997445,32043
299,Rockville Metro East,-77.145803,43,318,13,39.085394,32044
300,1st & H St NW,-77.012108,42,319,15,38.900358,31638
301,Fort Totten Metro,-77.002721,42,320,19,38.952369,31515
302,Takoma Metro,-77.016855,42,321,19,38.975219,31408
303,Rhode Island Ave Metro,-76.995876,42,322,19,38.920682,31516
304,Rolfe St & 9th St S,-77.076131,41,323,11,38.866471,31075
305,S Randolph St & Campbell Ave,-77.08865851163864,41,324,15,38.84065400672152,31076
306,Shady Grove Metro West,-77.166093,43,325,19,39.119765,32045
307,River Rd & Landy Ln,-77.103381,44,326,19,38.964992,32046
308,Rockville Metro West,-77.146866,43,327,19,39.084379,32047
309,Bethesda Metro / Wisconsin Ave & Old Georgetown Rd,-77.094537,44,328,12,38.984691,32048
310,Iwo Jima Memorial / Meade & 14th St N,-77.071301,41,329,19,38.88992,31077
311,34th & Water St NW,-77.0675285,42,330,19,38.9037315,31314
312,Duke St & John Carlyle St,-77.060866,40,331,15,38.804378,31081
313,Langston Blvd & N Cleveland St,-77.09169,41,332,15,38.894941,31079
314,Arlington Blvd & S George Mason Dr,-77.104503,41,333,15,38.869442,31078
315,10th & G St NW,-77.02623546123505,42,334,23,38.89824328774852,31274
316,Langston Blvd & N Scott St,-77.080851,41,335,15,38.897612,31080
317,New Hampshire Ave & 24th St NW,-77.051084,42,336,19,38.901755,31275
